region,code,id,title_id,name,type,game_title
Korea,ECAS,00069,ECAS00069,God of War: Ragnarok,,God of War: Ragnarok 
Korea,ECAS,00027,ECAS00027,God of War: Ragnarok,,God of War: Ragnarok 
Asia,ECAS,00026,ECAS00026,God of War: Ragnarok,,God of War: Ragnarok 
Korea,ECAS,00027,ECAS00027,God of War: Ragnarok,Collector's Edition,God of War: Ragnarok Collector's Edition
Asia,ECAS,00026,ECAS00026,God of War: Ragnarok,Collector's Edition,God of War: Ragnarok Collector's Edition
Asia,ELAS,10257,ELAS10257,Gotham Knights,,Gotham Knights 
Asia,ELAS,10264,ELAS10264,Gotham Knights,,Gotham Knights 
Korea,ELAS,10355,ELAS10355,Gotham Knights,,Gotham Knights 
Korea,ECAS,00062,ECAS00062,Gran Turismo 7,,Gran Turismo 7 
Asia,ECAS,00035,ECAS00035,Gran Turismo 7,,Gran Turismo 7 
Korea,ECAS,00034,ECAS00034,Gran Turismo 7,,Gran Turismo 7 
Asia,ECAS,00035,ECAS00035,Gran Turismo 7,25th Anniversary Edition,Gran Turismo 7 25th Anniversary Edition
Korea,ELAS,10615,ELAS10615,Granblue Fantasy: Relink,,Granblue Fantasy: Relink 
Korea,ELAS,10233,ELAS10233,Grand Theft Auto V,,Grand Theft Auto V 
Asia,ELAS,10235,ELAS10235,Grand Theft Auto V,,Grand Theft Auto V 
Asia,ELAS,10481,ELAS10481,Grime,,Grime 
Korea,ELAS,10481,ELAS10481,Grime,,Grime 
Korea,ELAS,10059,ELAS10059,Guilty Gear -Strive-,,Guilty Gear -Strive- 
Asia,ELAS,10074,ELAS10074,Guilty Gear -Strive-,,Guilty Gear -Strive- 
Asia,ELAS,10075,ELAS10075,Guilty Gear -Strive-,,Guilty Gear -Strive- 
Korea,ELAS,10289,ELAS10289,Guilty Gear -Strive- Season 2,,Guilty Gear -Strive- Season 2 
Korea,ELAS,10752,ELAS10752,Gundam Breaker 4,,Gundam Breaker 4 
Asia,ELAS,10376,ELAS10376,Gungrave G.O.R.E,,Gungrave G.O.R.E 
Korea,ELAS,10377,ELAS10377,Gungrave G.O.R.E,,Gungrave G.O.R.E 
Asia,ELAS,10118,ELAS10118,Hades,,Hades 
Korea,ELAS,10119,ELAS10119,Hades,,Hades 
Asia,ECAS,00079,ECAS00079,Helldivers II,,Helldivers II 
Asia,ECAS,00079,ECAS00079,Helldivers II,,Helldivers II 
Korea,ECAS,00078,ECAS00078,Helldivers II,,Helldivers II 
Asia,ELAS,10331,ELAS10331,Hogwarts Legacy,,Hogwarts Legacy 
Asia,ELAS,10332,ELAS10332,Hogwarts Legacy,,Hogwarts Legacy 
Asia,ELAS,10335,ELAS10335,Hogwarts Legacy,,Hogwarts Legacy 
Korea,ELAS,10419,ELAS10419,Hogwarts Legacy,,Hogwarts Legacy 
Korea,ECAS,00085,ECAS00085,Horizon Forbidden West,Complete Edition,Horizon Forbidden West Complete Edition
Korea,ECAS,00084,ECAS00084,Horizon Forbidden West,Complete Edition,Horizon Forbidden West Complete Edition
Korea,ECAS,00083,ECAS00083,Horizon Forbidden West,Complete Edition,Horizon Forbidden West Complete Edition
Asia,ECAS,00082,ECAS00082,Horizon Forbidden West,"Complete Edition, Chinese cover","Horizon Forbidden West Complete Edition, Chinese cover"
Asia,ECAS,00081,ECAS00081,Horizon Forbidden West,"Complete Edition, English cover","Horizon Forbidden West Complete Edition, English cover"
Asia,ECAS,00032,ECAS00032,Horizon: Forbidden West,,Horizon: Forbidden West 
Korea,ECAS,00033,ECAS00033,Horizon: Forbidden West, Edition,Horizon: Forbidden West  Edition
Korea,ECAS,00033,ECAS00033,Horizon: Forbidden West,Limited Edition,Horizon: Forbidden West Limited Edition
Asia,ECAS,00032,ECAS00032,Horizon: Forbidden West,Special Edition,Horizon: Forbidden West Special Edition
Korea,ECAS,00107,ECAS00107,Horizon: Zero Dawn,Remastered,Horizon: Zero Dawn Remastered
Asia,ECAS,00108,ECAS00108,Horizon: Zero Dawn,"Remastered, Chinese Cover","Horizon: Zero Dawn Remastered, Chinese Cover"
Asia,ECAS,00109,ECAS00109,Horizon: Zero Dawn,"Remastered, English Cover","Horizon: Zero Dawn Remastered, English Cover"
Korea,ELAS,10153,ELAS10153,Hot Wheels: Unleashed,,Hot Wheels: Unleashed 
Asia,ELAS,10011,ELAS10011,Immortals Fenyx Rising,,Immortals Fenyx Rising 
Korea,ELAS,10018,ELAS10018,Immortals Fenyx Rising,,Immortals Fenyx Rising 
Korea,ELAS,10026,ELAS10026,Immortals Fenyx Rising,,Immortals Fenyx Rising 
Korea,ELAS,10514,ELAS10514,Infinity Strash: Dragon Quest: The Adventure of Dai,,Infinity Strash: Dragon Quest: The Adventure of Dai 
Korea,ELAS,10200,ELAS10200,Iron Harvest,,Iron Harvest 
Asia,ELAS,10286,ELAS10286,JoJo's Bizzare Adventure: All-Star Battle R,,JoJo's Bizzare Adventure: All-Star Battle R 
Asia,ELAS,10287,ELAS10287,JoJo's Bizzare Adventure: All-Star Battle R,,JoJo's Bizzare Adventure: All-Star Battle R 
Korea,ELAS,10288,ELAS10288,JoJo's Bizzare Adventure: All-Star Battle R,,JoJo's Bizzare Adventure: All-Star Battle R 
Korea,ELAS,10080,ELAS10080,Judge Eyes: Remastered,,Judge Eyes: Remastered 
Asia,ELAS,10081,ELAS10081,Judge Eyes: Remastered,,Judge Eyes: Remastered 
Asia,ELAS,10634,ELAS10634,Jujutsu Kaisen Cursed Clash,,Jujutsu Kaisen Cursed Clash 
Asia,ELAS,10002,ELAS10002,Just Dance 2021,,Just Dance 2021 
Korea,ELAS,10015,ELAS10015,Just Dance 2021,,Just Dance 2021 
Asia,ELAS,10165,ELAS10165,Just Dance 2022,,Just Dance 2022 
Korea,ELAS,10166,ELAS10166,Just Dance 2022,,Just Dance 2022 
Korea,ELAS,10735,ELAS10735,KAGE: Shadow of the Ninja,,KAGE: Shadow of the Ninja 
Asia,ELAS,10841,ELAS10841,Kemco RPG Selection Vol. 1,,Kemco RPG Selection Vol. 1 
Asia,ELAS,10254,ELAS10254,Klonoa Phantasy Reverie Series,,Klonoa Phantasy Reverie Series 
Asia,ELAS,10254,ELAS10254,Klonoa Phantasy Reverie Series,,Klonoa Phantasy Reverie Series 
Korea,ELAS,10255,ELAS10255,Klonoa Phantasy Reverie Series,,Klonoa Phantasy Reverie Series 
Asia,ELAS,10256,ELAS10256,Klonoa Phantasy Reverie Series,,Klonoa Phantasy Reverie Series 
Asia,ECAS,00056,ECAS00056,Last of Us: Part II,Remastered,Last of Us: Part II Remastered
Korea,ECAS,00055,ECAS00055,Last of Us: Part II,Remastered,Last of Us: Part II Remastered
Asia,ELAS,10485,ELAS10485,Lego 2K Drive,,Lego 2K Drive 
Asia,ELAS,10485,ELAS10485,Lego 2K Drive,,Lego 2K Drive 
Korea,ELAS,10486,ELAS10486,Lego 2K Drive,,Lego 2K Drive 
Korea,ECAS,00106,ECAS00106,LEGO Horizon Adventures,,LEGO Horizon Adventures 
Asia,ECAS,00105,ECAS00105,LEGO Horizon Adventures,,LEGO Horizon Adventures 
Asia,ECAS,00104,ECAS00104,LEGO Horizon Adventures,,LEGO Horizon Adventures 
Asia,ELAS,10083,ELAS10083,Lego Star Wars: Skywalker Saga,,Lego Star Wars: Skywalker Saga 
Asia,ELAS,10082,ELAS10082,LEGO Star Wars: The Skywalker Saga,,LEGO Star Wars: The Skywalker Saga 
Asia,ELAS,10379,ELAS10379,LEGO Star Wars: The Skywalker Saga,,LEGO Star Wars: The Skywalker Saga 
Korea,ELAS,10519,ELAS10519,Lies of P,,Lies of P 
Asia,ELAS,10820,ELAS10820,Life is Strange: Double Exposure,,Life is Strange: Double Exposure 
Asia,ELAS,10154,ELAS10154,Life is Strange: True Colors,,Life is Strange: True Colors 
Korea,ELAS,10543,ELAS10543,Like a Dragon 7,,Like a Dragon 7 
Korea,ELAS,10609,ELAS10609,Like a Dragon 8,,Like a Dragon 8 
Korea,ELAS,10899,ELAS10899,Like a Dragon 8 Side Story: Pirates in Hawaii,,Like a Dragon 8 Side Story: Pirates in Hawaii 
Asia,ELAS,10544,ELAS10544,Like a Dragon Gaiden: The Man Who Erased His Name,,Like a Dragon Gaiden: The Man Who Erased His Name 
Asia,ELAS,10545,ELAS10545,Like a Dragon Gaiden: The Man Who Erased His Name,,Like a Dragon Gaiden: The Man Who Erased His Name 
Asia,ELAS,10612,ELAS10612,Like a Dragon: Infinite Wealth,,Like a Dragon: Infinite Wealth 
Asia,ELAS,10613,ELAS10613,Like a Dragon: Infinite Wealth,,Like a Dragon: Infinite Wealth 
