GameId	Region	GameTitle	PKG direct link
NPUH10040	US	The Red Star	http://zeus.dl.playstation.net/cdn/UP1025/NPUH10040_00/Uygkag5Re37e4eanb6tIYP2BI5NvS6Wqwjso8ii3KgVFqh8gbGayRcouoq87aMOBFT1v92o850maN8uc1vtEHcF3oi4kS374FfGqU.pkg
NPUH10041	US	Valhalla Knights 2: Battle Stance	http://zeus.dl.playstation.net/cdn/UP1023/NPUH10041_00/dRFwI4o9qmVk7AdLnJYavi31pvXEHr7LaX3a8n6p9yA6nYxfYCoafTetFqL93y44FT6ERaXjhUvS0YXc8OfgS4QtAqJvTasv1N3TW.pkg
NPUH10042	US	Kurulin Fusion	http://zeus.dl.playstation.net/cdn/UP0094/NPUH10042_00/T7jHVGCoNoJBD9HS8UOUjbuwg4XnJh45UwowAO25SIn9aftmYBhTNPiodnwTjhDRBPoVdI5gQ2mJT1P6MBk1Ax916Pw5B2uSydJgk.pkg
NPUH10044	US	GTI Club Supermini Festa!	http://zeus.dl.playstation.net/cdn/UP0101/NPUH10044_00/983Es7mgIx0rOyIoLwEqbhE9nd2KYtpeV00r8lv6cpLITES7nPajVhaSCj2SEGb9bHFSuPpKjjBrxkKdf03fVoq9VnNGxhUdHVwdM.pkg
NPUH10047	US	Tekken 6	http://zeus.dl.playstation.net/cdn/UP0700/NPUH10047_00/yJ8brnWN8VOCjTouwgXalIBC2qLpi4wifA69B49Yf44jRIS6kNVncUTujnUYFiP8maHKacw2AW3c0fUhqTjNI6B5Yn40x7xUXqsFn.pkg
NPUH10049	US	What did I do to Deserve This, My Lord!? 2	http://zeus.dl.playstation.net/cdn/UP1063/NPUH10049_00/p0yoYolK9lBBin6OSiytVEQsLlShCwKrHLGv8t0Pd905y4pIOyTn8Chf2UNTlRDIUXiXw1MCArQEdgYLyyREEOFE9C9sEXDWfBccW.pkg
NPUH10053	US	King of Pool	http://zeus.dl.playstation.net/cdn/UP4069/NPUH10053_00/LgxRL25cyaR02It1iMUi0NaX2ccEGF8FfmS0IxOKvQujh5peskhqrD9II78RRAVxafGH922kHHQbKMXVE5MvM57VYOqR1MVn2vo40.pkg
NPUH10059	US	Fatal Fury: The King of Fighters (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10059_00/xtWLBoRKcuuTrogExtsbwvnRzAuAuVORfDrvofSLFNUNreUfODPqBWEODSSOjKRDUokuBAsDUNZMQuvFJZvHZSzNOfoaxoQVHRdsO.pkg
NPUH10060	US	Alpha Mission II (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10060_00/dyHRWjnvmGcCwAoujPAXgumOkDGBKQrfxRMRFhslNfzlRcVwxGfDXOuACofMslYKuPqIHUDrgbgYaOsJtQrBKGvraFGnGxDWaBxDW.pkg
NPUH10061	US	Art of Fighting (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10061_00/QEEVunaOsuXcZjxOciByWNdNWrJeKNsUHnkVayzzOiFMJmuQrdngKzCWNfrJHwbyEzLIczQTlxOOjLoYRUoyHydcqgIGrtZrimIgb.pkg
NPUH10062	US	Metal Slug (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10062_00/urJSaEgtzgMwCwJQNDCiVJsVJIJsUcTqtKKxfFhtNrWcUwzgksxCefirXZZrUcTvCWTIEeIIwcrDOQFTzYkGRNEIcbGQlwdEIiIcI.pkg
NPUH10063	US	Samurai Shodown (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10063_00/JDgqjlSFsfqzZFJGAngvGbRoUelwaKYaAIrezuSuwgytBnputUuFJyeVZcgZXloSJsxTGDvVcqGIHNxqsbiHYOCIxyrLqmcnmqmyg.pkg
NPUH10064	US	Baseball Stars Professional (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10064_00/KTROcjuLUWnwwCeflMqPZeFgiKukqBadiZbIygplkIvqnbNCWKjSStkURHfYMctmMRcJdYqQzYXaIvGPoxniPBbVRqtOnvKNyAmLG.pkg
NPUH10065	US	The King of Fighters '94 (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10065_00/zLLjsKNSFwqNnICBuFqZnDooHxlmKryOEfmbpSnAxUUQDsbxdnuOXCrQxrCObhgkTtPapRUaRrDdammsuNprXBKhZKLnXJyymlwSJ.pkg
NPUH10066	US	Super Sidekicks (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10066_00/gUuuIWZfAjIYVqPnAdIgXIwOKkJdkwjUOoyOEFHqHLYvsBWegMHTeFpHHYxECsMYtxqxdXBRMgEidbKwNcFyxltyxzbOkxomOqhuS.pkg
NPUH10067	US	League Bowling (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10067_00/vppCGLoESLQVVtkHFWGGqrMukYutGAgDXyhEebtAWDgumZrDRFqWVEjvfanfVdkwctHOiuVfEoTdkotoByhWnygWHPFeHIqrLFaYC.pkg
NPUH10068	US	Magician Lord (NeoGeo Station)	http://zeus.dl.playstation.net/cdn/UP0576/NPUH10068_00/LjJLvKGGWmHTcyXBeEKEaQNefMCxUdedFRrpiHrVEcYXedZebkfnGHPRkINgDgkURzkZhoQijCSxgmXTbkuwbTTyRJGXKaczGxnRB.pkg
