type,title_id,game_title,region,update,license,url,content_id
CARD,PCSB00174,FIFA 13 (ES),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaG4Cst/N080xzDPE0cjAEOQ0Q3z+e7Pv5xOZAO+5vDejWJZyz2QbjfHBDQCCxhOd,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00174/PCSB00174_T0/fafd131fb8e5c176/EP0006-PCSB00174_00-FIFAVITA20130001-A0101-V0100-76bbc8f59d57df6eaebf9b6d8004f7b99b513b22-PE.pkg,EP0006-PCSB00174_00-FIFAVITA20130001-A0101-V0100
CARD,PCSB00175,FIFA 13 (DUT),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaG4Kst/N080xzDPE0cjAEOQ0Q3z+233gerfKwkzxpqLPR05Ojt87GuODGwAAg8oVdQAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00175/PCSB00175_T0/16b146827c1eb566/EP0006-PCSB00175_00-FIFAVITA20130001-A0101-V0100-d7ae4e4ef68788c4fc48caa9fb2397c881102ec3-PE.pkg,EP0006-PCSB00175_00-FIFAVITA20130001-A0101-V0100
PSN,PCSB00180,Oddworld: Stranger's Wrath HD,EU,1.02,KO5ifR1dQ+e7BpgYGptAVRtagO33Dw73cAnzDHF0d/R1NQSagQfkXZu97rdJzM5jOz8V+7OqraMstFg2jKYY2gIA5+oWVgAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00180/PCSB00180_T2/10fb04c522d30f9d/EP4134-PCSB00180_00-OSWHDVITAGAME100-A0102-V0100-ec6f30bba15bea5d3ae8318e298bf06773a11010-PE.pkg,EP4134-PCSB00180_00-OSWHDVITAGAME100-A0102-V0100
CARD,PCSB00183,Need for Speed: Most Wanted,EU,1.01,KO5ifR1dQ+e7BoAcBFVtaGEMst/PLdg3HCgc5hkCNMo1FJ//FuvqxvTEPJl/2v37Jbdns01HY3xwAwA9JRVC,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00183/PCSB00183_T1/4ab364b705bd95d3/EP0006-PCSB00183_00-NFSMW000VITA00EU-A0101-V0100-9a24c232da6eca34f84600e569ba95b89e6f5c8b-PE.pkg,EP0006-PCSB00183_00-NFSMW000VITA00EU-A0101-V0100
PSN,PCSB00186,escapeVektor,EU,1.01,KO5ifR1dQ+e7BpgYmxpBVRtamIHs9/NzDXZ2DHANc/UO8Q9yDcXnv387rHazrpHfcZEh0fT1Ly2P0Rgf3AAAHXAVHAAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00186/PCSB00186_T0/a79bb6bc3ea44a4c/EP4352-PCSB00186_00-NNESCAPEVEKTOREU-A0101-V0100-4c8cec84538c20f5c9ceab054ab0517582c45075-PE.pkg,EP4352-PCSB00186_00-NNESCAPEVEKTOREU-A0101-V0100
PSN,PCSB00189,Guacamelee!,EU,1.03,KO5ifR1dQ+e7BhgZmphCVRtaWILsdw91dHb0dfVxdYVYis9/E7YHTvnesMDug2nSh6VscoKUhRbLBhpHB/NIT48AYpIU3AAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00189/PCSB00189_T3/8edb64fbab54ca84/EP2145-PCSB00189_00-GUACAMELEE000000-A0103-V0101-431c50e466803c41d5f88035791160eaf4ce0d57-PE.pkg,EP2145-PCSB00189_00-GUACAMELEE000000-A0103-V0101
CARD,PCSB00190,Sonic & All-Stars Racing Transformed,EU,1.01,KO5ifR1dQ+e7BhgYmptDVRtagu0PdgwOCgly9At28w/ydXUxwOe/cssi7/dSji9/17uGlUytjKMstFg2jKYY2gIATYsVXHgA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00190/PCSB00190_T0/4229b9f64fc58e50/EP0177-PCSB00190_00-SASRTRANSFORMED0-A0101-V0100-443c2241f610467018e33754f269d369e1fe10b0-PE.pkg,EP0177-PCSB00190_00-SASRTRANSFORMED0-A0101-V0100
PSN,PCSB00194,Zombie Tycoon 2: Brainhov's Revenge,EU,1.01,KO5ifR1dQ+e7BpgYWJpBVRtamoDsj/L3dfJ0NQpzDQr29PczMMTnv6lzVJ2X3Ew6ev54auIqxskbRmN8cAMAoNoVcwAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00194/PCSB00194_T0/7f4d9cae51fbee9d/EP4096-PCSB00194_00-ZOMBIE2VERSION01-A0101-V0100-2ee4a3a1184ee461db39eca7c2ac71f2500e5d70-PE.pkg,EP4096-PCSB00194_00-ZOMBIE2VERSION01-A0101-V0100
PSN,PCSB00203,Retro City Rampage,EU,1.01,KO5ifR1dg/J5YXzXACMDc3OoaiMDY5D9Qc5B7o6+rnA78fkvu/verilnxJ8d0555YHHATcFBHh3MIz09AgAYDhUz,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00203/PCSB00203_T1/d1befc5ea7781747/EP2077-PCSB00203_00-RCRGAME000000001-A0101-V0101-d579b5739a48b80b29aaee745aa137f2a803c67c-PE.pkg,EP2077-PCSB00203_00-RCRGAME000000001-A0101-V0101
CARD,PCSB00204,WRC FIA World Rally Championship 3,EU,1.01,KO5ifR1dQ+e7BpgYm5pBVRsZmIDsDw9yNg7zDHF0d/R1dQ0FmoEHfJIXDHr+Ymcuw3yRZEu/crnRGB/cAAA7mxNm,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00204/PCSB00204_T1/1f74d7b3c861788c/EP4356-PCSB00204_00-WRC3VITAGAMEEU00-A0101-V0100-f87d166ae51c567c0c26ed47624d2adad201e2de-PE.pkg,EP4356-PCSB00204_00-WRC3VITAGAMEEU00-A0101-V0100
CARD,PCSB00213,Call of Duty: Black Ops Declassified,EU,1.02,KO5ifR1dQ+e7BsBsAao2MjQG2e/i6uzjGBzs6ebp6uIaamCIz39q7lZ9ttJdHr838v/lfq15ZjTGBzcAAKEGE7EA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00213/PCSB00213_T1/8dd31ad1f2116036/EP0002-PCSB00213_00-DECLASSIFIEDEU01-A0102-V0100-ad0bb6acf02db655eb3520724e01b419338c7956-PE.pkg,EP0002-PCSB00213_00-DECLASSIFIEDEU01-A0102-V0100
PSN,PCSB00229,Draw Slasher,EU,1.02,KO5ifR1dQ+e7BpgYW5pBVRsZWYLsdwlyDA/2cQz2cA1yDQXaic9/jnGJxabaGxoE69KOGvp/+TAa44MbAAAlnhP7,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00229/PCSB00229_T1/37c86e8e2503662e/EP4396-PCSB00229_00-DRAWSLASHEREU001-A0102-V0101-8d13018d3095d705f3ff9fb18311894ba57b2fa3-PE.pkg,EP4396-PCSB00229_00-DRAWSLASHEREU001-A0102-V0101
CARD,PCSB00232,Call of Duty: Black Ops Declassified,EU,1.02,KO5ifR1dQ+e7BsBsAao2MjYC2e/i6uzjGBzs6ebp6uIaamCEz3/TVc6VdOvZub5o4+FoC+rMGY3xwQ0A5XcTOQAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00232/PCSB00232_T1/edc3d61070cafbe9/EP0002-PCSB00232_00-DECLASSIFIEDEU02-A0102-V0100-a1d52aecb2f15720f5fdbf9128083d38f3289d3b-PE.pkg,EP0002-PCSB00232_00-DECLASSIFIEDEU02-A0102-V0100
PSN,PCSB00244,Jetpack Joyride,EU,1.02,KO5ifR1dQ+e7BpgYmVhCVRuZmIDs93INCXB09vbyjwzydAFahs9/pyTZ7z7sCDxglHc6+qPOz/+jMT64AQB8vBX9,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00244/PCSB00244_T2/33e1d6cda91f91eb/EP4249-PCSB00244_00-JETPACKJOYRIDE00-A0102-V0101-8448c9941d37224a44e657ee3791983c01aa6155-PE.pkg,EP4249-PCSB00244_00-JETPACKJOYRIDE00-A0102-V0101
PSN,PCSB00246,Hungry Giraffe,EU,1.01,KO5ifR1dQ+e7BpgYGhtBVRuZmIHs9wj1cw+KdPcMcnRzA9mFz38vpavuxk5Q3+u8TDMxlyv75CCPDuaRnh4BT0cUEAAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00246/PCSB00246_T0/67d2b13e7c4c3601/EP4132-PCSB00246_00-HUNGRYGIRAFFE000-A0101-V0100-447cf105fa6633fab13315bc750d3916c60c8031-PE.pkg,EP4132-PCSB00246_00-HUNGRYGIRAFFE000-A0101-V0100
PSN,PCSB00254,Star Wars Pinball,EU,1.05,KO5ifR1dg/J5YXzXABMDEyOoaiNTE5D9weEBnn5Ojj4+UDvx+e/921cvj88U6r7geP1vVZLSv0EeHcwjPT0CABozFvkA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00254/PCSB00254_T4/aa70a161426ec0ce/EP4042-PCSB00254_00-SWPINBALL0000001-A0105-V0100-1ed8c64f6887d914e753e1d4e7e2920ba4f739ef-PE.pkg,EP4042-PCSB00254_00-SWPINBALL0000001-A0105-V0100
PSN,PCSB00265,BreakQuest: Extra Evolution,EU,1.01,KO5ifR1dQ+e7BpgYQkwFqjYyMwXZ7xTk6ugdGOoaHBIQHOYZ4ojPfzHnG1gLV7p8rz45vXiKnMTXQR4dzCM9PQIAVRIVQgAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00265/PCSB00265_T0/9077de5874a2fcc2/EP4101-PCSB00265_00-BREAKQUESTPSVITA-A0101-V0100-d0c8eb452443522df21ba34d638a66c481cd1a5d-PE.pkg,EP4101-PCSB00265_00-BREAKQUESTPSVITA-A0101-V0100
PSN,PCSB00275,Oddworld: Munch's Oddysee HD,EU,1.02,KO5ifR1dQ+e7BpgYGptAVRuZm4Ls9w31c/bwd3GJDHZ19XAxMMTnv2dxoUt/cubYqB7vsDmwoqZlNMYHNwAAooMU2wAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00275/PCSB00275_T1/70caca45d768d0f5/EP4134-PCSB00275_00-MUNCHODDYSEEHD01-A0102-V0100-bedf35bdd46093d792b000e8509d1ce372dba3bb-PE.pkg,EP4134-PCSB00275_00-MUNCHODDYSEEHD01-A0102-V0100
