game_name,id,type,region,languages,title,year,month,day,rom_name
BlazBlue: Calamity Trigger (Taiwan) (JA),BCAS20077,PS3,NTSC-A,JA,BlazBlue: Calamity Trigger,2009,6,25,BlazBlue: Calamity Trigger (Taiwan) (JA).iso
"LittleBigPlanet (Game of the Year Edition) (Taiwan) (EN,ZHCN)",BCAS20078,PS3,NTSC-A,"EN,ZHCN",LittleBigPlanet (Game of the Year Edition),2009,9,8,"LittleBigPlanet (Game of the Year Edition) (Taiwan) (EN,ZHCN).iso"
Uncharted: Drake's Fortune (Taiwan) (EN),BCAS20079,PS3,NTSC-A,EN,Uncharted: Drake's Fortune,2008,7,2,Uncharted: Drake's Fortune (Taiwan) (EN).iso
Katamari Damacy Tribute (Taiwan) (JA),BCAS20080,PS3,NTSC-A,JA,Katamari Damacy Tribute,2009,7,23,Katamari Damacy Tribute (Taiwan) (JA).iso
MAG (Taiwan) (EN),BCAS20081,PS3,NTSC-A,EN,MAG,2010,1,26,MAG (Taiwan) (EN).iso
"SIREN: New Translation (PlayStation 3 the Best) (Taiwan) (EN,JA)",BCAS20082,PS3,NTSC-A,"EN,JA",SIREN: New Translation (PlayStation 3 the Best),2009,7,9,"SIREN: New Translation (PlayStation 3 the Best) (Taiwan) (EN,JA).iso"
Minna no Golf 5 (PlayStation 3 the Best) (Taiwan) (JA),BCAS20083,PS3,NTSC-A,JA,Minna no Golf 5 (PlayStation 3 the Best),2009,7,2,Minna no Golf 5 (PlayStation 3 the Best) (Taiwan) (JA).iso
Tears to Tiara : Kakan no Daichi (PlayStation 3 the Best) (Taiwan) (JA),BCAS20084,PS3,NTSC-A,JA,Tears to Tiara : Kakan no Daichi (PlayStation 3 the Best),2009,7,16,Tears to Tiara : Kakan no Daichi (PlayStation 3 the Best) (Taiwan) (JA).iso
"Soul Calibur IV (PlayStation 3 the Best) (Taiwan) (EN,JA)",BCAS20085,PS3,NTSC-A,"EN,JA",Soul Calibur IV (PlayStation 3 the Best),2009,8,1,"Soul Calibur IV (PlayStation 3 the Best) (Taiwan) (EN,JA).iso"
Trinity Universe (Taiwan) (JA),BCAS20086,PS3,NTSC-A,JA,Trinity Universe,2009,10,1,Trinity Universe (Taiwan) (JA).iso
"Toro! Let's Party! (Taiwan) (EN,JA,ZHTW)",BCAS20087,PS3,NTSC-A,"EN,JA,ZHTW",Toro! Let's Party!,2009,8,13,"Toro! Let's Party! (Taiwan) (EN,JA,ZHTW).iso"
Trusty Bell: Chopin no Yume Reprise (PlayStation 3 the Best) (Taiwan) (JA),BCAS20088,PS3,NTSC-A,JA,Trusty Bell: Chopin no Yume Reprise (PlayStation 3 the Best),2009,9,3,Trusty Bell: Chopin no Yume Reprise (PlayStation 3 the Best) (Taiwan) (JA).iso
Kidou Senshi Gundam Senki (Taiwan) (JA),BCAS20089,PS3,NTSC-A,JA,Kidou Senshi Gundam Senki,2009,9,3,Kidou Senshi Gundam Senki (Taiwan) (JA).iso
"Hakuna Matata (PlayStation 3 the Best) (Taiwan) (EN,ZHTW)",BCAS20090,PS3,NTSC-A,"EN,ZHTW",Hakuna Matata (PlayStation 3 the Best),2009,9,3,"Hakuna Matata (PlayStation 3 the Best) (Taiwan) (EN,ZHTW).iso"
"LittleBigPlanet (PlayStation 3 the Best) (Taiwan) (EN,ZHCN)",BCAS20091,PS3,NTSC-A,"EN,ZHCN",LittleBigPlanet (PlayStation 3 the Best),2009,9,3,"LittleBigPlanet (PlayStation 3 the Best) (Taiwan) (EN,ZHCN).iso"
WET (Taiwan) (EN),BCAS20092,PS3,NTSC-A,EN,WET,2009,9,16,WET (Taiwan) (EN).iso
Tales of Vesperia (Taiwan) (JA),BCAS20093,PS3,NTSC-A,JA,Tales of Vesperia,2009,9,17,Tales of Vesperia (Taiwan) (JA).iso
Tears to Tiara Gaiden : Avalon no Nazo (Taiwan) (JA),BCAS20094,PS3,NTSC-A,JA,Tears to Tiara Gaiden : Avalon no Nazo,2009,9,17,Tears to Tiara Gaiden : Avalon no Nazo (Taiwan) (JA).iso
Katamari Forever (Taiwan) (EN),BCAS20095,PS3,NTSC-A,EN,Katamari Forever,2009,9,22,Katamari Forever (Taiwan) (EN).iso
"Uncharted 2: Among Thieves (Taiwan) (EN,ZHTW)",BCAS20097,PS3,NTSC-A,"EN,ZHTW",Uncharted 2: Among Thieves,2009,10,13,"Uncharted 2: Among Thieves (Taiwan) (EN,ZHTW).iso"
"Ratchet & Clank Future: A Crack in Time (Taiwan) (EN,ZHTW)",BCAS20098,PS3,NTSC-A,"EN,ZHTW",Ratchet & Clank Future: A Crack in Time,2009,10,27,"Ratchet & Clank Future: A Crack in Time (Taiwan) (EN,ZHTW).iso"
Rogue Warrior (Taiwan) (EN),BCAS20099,PS3,NTSC-A,EN,Rogue Warrior,2009,12,2,Rogue Warrior (Taiwan) (EN).iso
"Wipeout HD Fury (Taiwan) (EN,ZHTW)",BCAS20100,PS3,NTSC-A,"EN,ZHTW",Wipeout HD Fury,2009,10,16,"Wipeout HD Fury (Taiwan) (EN,ZHTW).iso"
Way of the Samurai 3 Plus (PlayStation 3 the Best) (Taiwan) (JA),BCAS20101,PS3,NTSC-A,JA,Way of the Samurai 3 Plus (PlayStation 3 the Best),2009,10,29,Way of the Samurai 3 Plus (PlayStation 3 the Best) (Taiwan) (JA).iso
God of War Collection (Taiwan) (EN),BCAS20102,PS3,NTSC-A,EN,God of War Collection,2009,11,17,God of War Collection (Taiwan) (EN).iso
EyePet (Bundle with PlayStation3 Eye) (Taiwan) (EN),BCAS20103,PS3,NTSC-A,EN,EyePet (Bundle with PlayStation3 Eye),2009,11,2,EyePet (Bundle with PlayStation3 Eye) (Taiwan) (EN).iso
"EyePet (Bundle with PlayStation3 Eye) (Taiwan) (EN,ZHTW)",BCAS20104,PS3,NTSC-A,"EN,ZHTW",EyePet (Bundle with PlayStation3 Eye),2009,12,17,"EyePet (Bundle with PlayStation3 Eye) (Taiwan) (EN,ZHTW).iso"
"ModNation Racers (Taiwan) (EN,ZHTW)",BCAS20105,PS3,NTSC-A,"EN,ZHTW",ModNation Racers,2010,6,24,"ModNation Racers (Taiwan) (EN,ZHTW).iso"
3D Dot Game Heroes (Taiwan) (JA),BCAS20106,PS3,NTSC-A,JA,3D Dot Game Heroes,2009,11,5,3D Dot Game Heroes (Taiwan) (JA).iso
"Heavy Rain (Taiwan) (EN,ZHTW)",BCAS20107,PS3,NTSC-A,"EN,ZHTW",Heavy Rain,2010,2,23,"Heavy Rain (Taiwan) (EN,ZHTW).iso"
"Gran Turismo 5 (Taiwan) (EN,ZHTW)",BCAS20108,PS3,NTSC-A,"EN,ZHTW",Gran Turismo 5,2010,11,24,"Gran Turismo 5 (Taiwan) (EN,ZHTW).iso"
