game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Battle - Los Angeles (Europe),36191,,Battle - Los Angeles (Europe),EP0101-NPEB00544_00-BTLAFULLGAME0000,DqKZcOQKRaxFjdSbypXUAuztzxXdIANMiOUXIXyFsfRwNktykekyMOIKEjYZtxOJ.pkg,1183294416,8bca61a9,e84968bee35f51b56980e47d3a7e82db,9739f187b38c7e14d2a6d3d841dae0e64cc38025,c11cf9f01ace054d59f611a4381d0502486d1f7097f1ba82437eb61cc422c63e
Battle - Los Angeles (Europe),36191,,Battle - Los Angeles (Europe),EP0101-NPEB00544_00-BTLAFULLGAME0000,EP0101-NPEB00544_00-BTLAFULLGAME0000.rap,16,afcd5730,24393f01c4c85535d0cb8ac422171a12,a44cd9b81e87d177ff847b5af1e610abae64018d,d7a11fab1966fe830016603a770beaf80fd38eb10afb12b7495cbde1ba3e26c8
Battle Ace (Japan) (PC Engine),45857,,Battle Ace (Japan) (PC Engine),JP0555-NPJJ30025_00-BATTLEACE000JG18,JP0555-NPJJ30025_00-BATTLEACE000JG18.rap,16,1994ddb7,f65de807c25c9f2ec4948a7f85ffed89,45f34fa8373d613cae9f8b0a2186e8eab10f4ed8,
Battle Ace (Japan) (PC Engine),45857,,Battle Ace (Japan) (PC Engine),JP0555-NPJJ30025_00-BATTLEACE000JG18,bc02HW1a2dGGJ8GCbbCsKgdfrkDwGRgOwhlqN76ANafgh106jaaJy7wB9qmwD6jWAHGaol4Tv7T9kalxd7pgbvlbRLXl8varYERoB.pkg,7567232,9b0f0f59,7f660c0fabe59c08969fbf862dbff0da,b4c33d17ff6504f7c3791c48aaf88c8d285f08ff,78008bcb41223d3b65371f3ef431a8c618e3f58872f996bd5abc45384f749ba8
Battle Fantasia (Japan),24494,,Battle Fantasia (Japan),JP0036-NPJB00071_00-BFHDDGAMEJP00100,4UkOS6djeRYvFfgWXssa8wPB49074QnsubicVYsTtydDIrFd4d53UNay7v2MGOAbCqFWj4gMDQtqmu3ir9E9y5aBF7LGqOPVCK27H.pkg,1278099248,68d2e640,aeb7d6ddf6b7365088e51e43b75cbd3e,bd79adb51fdb974fada3d1a6b11f36e4b68e42c7,
Battle Fantasia (Japan),24494,,Battle Fantasia (Japan),JP0036-NPJB00071_00-BFHDDGAMEJP00100,JP0036-NPJB00071_00-BFHDDGAMEJP00100.rap,16,f5900394,2282caf6378041c47338b6238ec4141f,10dbbad002b465c26904793066e47d4b83926fad,
Battle Fantasia (Asia) (Demo),01476,,Battle Fantasia (Asia) (Demo),HP0036-NPHB00035_00-BF10TRIAL0000001,PpaXBjMMNN58FUWpIBGtFg3HM8LhRGb2h38xElUkEy60ESeNxbYMEeaxlXAeDRI1QxLbl1uCwLVBm2CI79wU4cy1jxkbR0GMnhb2B.pkg,321206816,2d8d41cf,90758630473718662c3adf5a6df0c5fd,36d89b6b73fc009c9fa715bd5e1fb6bb0240294c,
Battle Fantasia (Japan) (Demo),01477,,Battle Fantasia (Japan) (Demo),JP0036-NPJB90105_00-BF10TRIAL0000001,9YUPHLd0cQq4fXW4FYeO0BQ61w12omB5e91HVVwj5SO69ddOOBjuxDW6gmXENbYr51GGYFn17m88fnha87BuF8sgxjjeLm4B0ErAe.pkg,321206816,acb1523d,d0804fdd7f629e96a719bda0623a9a42,bc4dfbbbc3dae3c60bc7959e2add0471df66f8e2,
Battle Fantasia (USA),01479,,Battle Fantasia (USA),UP1024-NPUB30126_00-BFHDDGAMEUS00100,97ri6539HhyLw3QCsLsmfrqDf0DTdm55rrDAVVbSK9wPGnaTFTTLMJepi8pAm2iNV8c8mhtKI8B84FisiMyjovaKBYpEx206nFEX6.pkg,1255581968,c711e80b,2c8df8bacc809c84d323f1656e4dee78,5382e76cf08b1cb7b2070853c2cae25cd1f251bf,
Battle Fantasia (USA),01479,,Battle Fantasia (USA),UP1024-NPUB30126_00-BFHDDGAMEUS00100,UP1024-NPUB30126_00-BFHDDGAMEUS00100.rap,16,2fcfc43c,704cc34d8aed4f9bfd1d9968c4302388,ccf6220a24530c4de8ff54ad25bedeb259c53779,
Battle of Tiles EX (Europe) (Trial),01480,,Battle of Tiles EX (Europe) (Trial),EP2086-NPEB01787_00-HDDBOOTGAME00001,hEuQVcDaFBBKFWwXrIiGkwbPyMYnTmcyLRosodQDoMrDcPwFPltpdjxarpkWkNPW.pkg,58309504,64b7f2de,abd0cb75b8567b15e316340b0561f7c9,0b80ad1719b1938706a16c3ebcaa45105adebe1d,
Battle of Tiles EX (Japan) (Trial),01481,,Battle of Tiles EX (Japan) (Trial),JP0063-NPJB00305_00-HDDBOOTGAME00001,bsHKkihCPufExsNIbxOpCjYabvWzwZlxlcOEmMZeyRRGffhrfbHZEUcGMlVHsoEEKdqKnItmLnoUFbdXGhoxIfYjioSVSSteKpZta.pkg,64312112,bb25c1f3,cfcc15882f46241e18aad0e3380b30c9,a6d5e4c7e13a00342311282d1e622906a24d11b1,
Battle of Tiles EX (USA) (Trial),01483,,Battle of Tiles EX (USA) (Trial),UP0063-NPUB31287_00-HDDBOOTGAME00001,CxOHMsOzUdrclzqOdtllvUfUSuivnIHIixXapdVoFRENVbAhYaQnvJnMkyOwvUKs.pkg,58309504,aa25a5c8,cece942361c5c3e8a5349c93041e0919,337d29d230096a93340369eb23b5bab423abd868,
Battle of Tiles EX (Japan) (Unlock Key),41036,,Battle of Tiles EX (Japan) (Unlock Key),JP0063-NPJB00305_00-GAMEPURCHASE0002,QhTRLnrSHEGmtNvbWRmCvUrEfxCgDRPavSikytAgScHwVVFPmlIYBvGDNFjuNxBARJeqsmiOukbfVyuvIofULKZudPwngslqeUvBS.pkg,6080,01b71437,b6b91db97165ae96d70111691d7d8b5a,c17c1f3b2576cbead4b960bd3527b8281129703f,432c55d3b9e7d417298288ee82728030e89e70e0f574c20dc179c77b579dab2c
Battle of Tiles EX (Japan) (Unlock Key),41036,,Battle of Tiles EX (Japan) (Unlock Key),JP0063-NPJB00305_00-GAMEPURCHASE0002,JP0063-NPJB00305_00-GAMEPURCHASE0002.rap,16,3b5fec2b,ba3d75a5004b299e6f9b0d6441e5e8c6,3147d64d85a2a9674ef25207b1fbf1901117ce23,4d72c95d7bf7f0295021b2a3b61a7a5850d5bbdec8a565358937566043b3d215
Battle Princess of Arcadias (USA),29359,,Battle Princess of Arcadias (USA),UP1063-NPUB31486_00-ARCADIASPKG00001,GLttrXdUGPOtaGPUlfENEyGmjnaSJRVcLqwrUqqxQrbRcBrSWjzvuatxvxoiBnWw.pkg,1101999712,c1416616,85669f1956f013f581643ac613fcf5c0,c9fd4e2cec71c0d73f177a7fef0ba5d416965373,
Battle Princess of Arcadias (USA),29359,,Battle Princess of Arcadias (USA),UP1063-NPUB31486_00-ARCADIASPKG00001,UP1063-NPUB31486_00-ARCADIASPKG00001.rap,16,15e5c016,e3c7fb2daa304ec731cf313a05c2497b,d101fbebb4a2f0ac631f74fea16ba6c87b1ff640,
Battle Princess of Arcadias (Europe),29215,,Battle Princess of Arcadias (Europe),EP1063-NPEB02001_00-ARCADIASPKG00001,EP1063-NPEB02001_00-ARCADIASPKG00001.rap,16,754161b8,27ac008cb4109a92d3f176e72ace5609,93e78bdb8824d14430a30d44f2fb742efe878d91,
Battle Princess of Arcadias (Europe),29215,,Battle Princess of Arcadias (Europe),EP1063-NPEB02001_00-ARCADIASPKG00001,qHZxxkBoGQJpdQzMYUBXcWSVZYgvqPtkFZcejydrSeYgGACShXydJpjFkbqJgJPd.pkg,1086367216,fb9a04c0,7831d0cd874b99bf126c75c09a3c6f20,84b83ebb59e2146ea9d88c49af402c37b276cc34,
Battle Trivia Knockout (USA),19418,,Battle Trivia Knockout (USA),UP2173-NPUB31795_00-0000000000000001,UP2173-NPUB31795_00-0000000000000001_bg_1_e1e443f6f80b015fc47eb5611d626c53783e918b.pkg,835773104,a2f11440,21ebd0e4606ff6217ce672f048f98905,7cf8eebbbb41a54dbd5c352dac0b491c7c772187,
Battlefield - Bad Company (USA) (Demo),01490,,Battlefield - Bad Company (USA) (Demo),UP0006-NPUB90070_00-BFBCDEMONA000001,N64D5kIIG0OpI3P5xtcLJm2NV1JANiBFIfPrJgrt9Eh6q6YiXg2tprVfte45j86AQ9rjwGcj1ARWbcyWV47lath0UBl8BV0Qy7eth.pkg,1468632928,72c6f3bc,0f0e923a800ef863142b41a31f58869f,c5b3e97cf2ea8cf521f1bcb41663f900bba85be3,
Battlefield - Bad Company (Europe) (Demo),13796,,Battlefield - Bad Company (Europe) (Demo),EP0006-NPEB90073_00-BFBCDEMOEU000001,sn2jKnSC8tIt9v6xNncBpkQmKeWDPbEDpkQddbOG1Bv4YhrsnB7YXuudKdIjsG8iaUEmMWUea1rhITTWFGmxLe1IJS1typif5iKuh.pkg,1693715776,2e7e638f,cda659862fdec755b400ac27e2ee6065,4988583566a2a9f01e661a9bbe5233ac11478f69,
